URL,Script Category,Leaf Breadcrumb,,,,,,,
https://www.amazon.com/s/ref=sr_in_Z_p_6_4?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147441011%2Cn%3A679255011%2Cn%3A3420996011%2Cp_6%3AATVPDKIKX0DER%7CAH1YFAUS3NHX2%7CA38MYE29B8LFRT&bbn=3420996011&ie=UTF8&qid=1497968058&rnid=2661622011,Men's Fashion Shoes,"Clothing, Shoes & Jewelry : Men : Shoes : Mules & Clogs : 3 sellers",,,,,,,
https://www.amazon.com/s/ref=sr_in_Z_p_6_5?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147441011%2Cn%3A679255011%2Cn%3A679319011%2Cp_6%3AATVPDKIKX0DER%7CAH1YFAUS3NHX2%7CA38MYE29B8LFRT&bbn=679319011&ie=UTF8&qid=1497968111&rnid=2661622011,Men's Fashion Shoes,"Clothing, Shoes & Jewelry : Men : Shoes : Oxfords : 3 sellers",,,,,,,
https://www.amazon.com/s/ref=sr_in_Z_p_6_7?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147440011%2Cn%3A679337011%2Cn%3A679399011%2Cp_6%3AATVPDKIKX0DER%7CAH1YFAUS3NHX2%7CA38MYE29B8LFRT&bbn=679399011&ie=UTF8&qid=1497968201&rnid=2661622011,Women's Fashion Shoes,"Clothing, Shoes & Jewelry : Women : Shoes : Flats : 3 sellers",,,,,,,
https://www.amazon.com/s/ref=sr_in_Z_p_6_4?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147440011%2Cn%3A679337011%2Cn%3A679404011%2Cp_6%3AATVPDKIKX0DER%7CAH1YFAUS3NHX2%7CA38MYE29B8LFRT&bbn=679404011&ie=UTF8&qid=1497968265&rnid=2661622011,Women's Fashion Shoes,"Clothing, Shoes & Jewelry : Women : Shoes : Loafers & Slip-Ons : 3 sellers",,,,,,,
https://www.amazon.com/s/ref=sr_in_Z_p_6_6?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147440011%2Cn%3A679337011%2Cn%3A679394011%2Cp_6%3AATVPDKIKX0DER%7CAH1YFAUS3NHX2%7CA38MYE29B8LFRT&bbn=679394011&ie=UTF8&qid=1497968333&rnid=2661622011,Women's Fashion Shoes,"Clothing, Shoes & Jewelry : Women : Shoes : Fashion Sneakers : 3 sellers",,,,,,,
https://www.amazon.com/s/ref=sr_in_Z_p_6_2?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147440011%2Cn%3A679337011%2Cn%3A679415011%2Cp_6%3AATVPDKIKX0DER%7CAH1YFAUS3NHX2%7CA38MYE29B8LFRT&bbn=679415011&ie=UTF8&qid=1497968385&rnid=2661622011,Women's Fashion Shoes,"Clothing, Shoes & Jewelry : Women : Shoes : Oxfords : 3 sellers",,,,,,,
https://www.amazon.com/s/ref=sr_in_Z_p_6_4?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147440011%2Cn%3A679337011%2Cn%3A679410011%2Cp_6%3AATVPDKIKX0DER%7CAH1YFAUS3NHX2%7CA38MYE29B8LFRT&bbn=679410011&ie=UTF8&qid=1497968436&rnid=2661622011,Women's Fashion Shoes,"Clothing, Shoes & Jewelry : Women : Shoes : Mules & Clogs : 3 sellers",,,,,,,
https://www.amazon.com/s/ref=sr_in_Z_p_6_3?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147440011%2Cn%3A679337011%2Cn%3A679433011%2Cp_6%3AATVPDKIKX0DER%7CAH1YFAUS3NHX2%7CA38MYE29B8LFRT&bbn=679433011&ie=UTF8&qid=1497968493&rnid=2661622011,Women's Fashion Shoes,"Clothing, Shoes & Jewelry : Women : Shoes : Slippers : 3 sellers",,,,,,,
https://www.amazon.com/s/ref=sr_in_Z_p_6_10?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147440011%2Cn%3A679337011%2Cn%3A679380011%2Cp_6%3AATVPDKIKX0DER%7CAH1YFAUS3NHX2%7CA38MYE29B8LFRT&bbn=679380011&ie=UTF8&qid=1497968581&rnid=2661622011,Women's Fashion Shoes,"Clothing, Shoes & Jewelry : Women : Shoes : Boots : 3 sellers",,,,,,,
https://www.amazon.com/s/ref=sr_in_Z_p_6_15?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147440011%2Cn%3A679337011%2Cn%3A679425011%2Cp_6%3AATVPDKIKX0DER%7CAH1YFAUS3NHX2%7CA38MYE29B8LFRT&bbn=679425011&ie=UTF8&qid=1497968639&rnid=2661622011,Women's Fashion Shoes,"Clothing, Shoes & Jewelry : Women : Shoes : Sandals : 3 sellers",,,,,,,
